width;height;distance;volume
157;260;84,06972885131840;10L
156;263;86,08007431030270;10L
156;248;89,01453018188480;20L
150;240;90,75736999511720;10L
143;229;95,32523155212400;10L
141;226;96,54927253723150;10L
141;226;97,8097915649414;10L
138;220;98,5109806060791;10L
140;221;99,05815124511720;10L
143;222;99,64990615844730;10L
143;220;99,96604919433590;10L
141;222;102,42223739624000;10L
143;224;109,91239547729500;10L
141;221;103,4395694732670;10L
130;201;113,10219764709500;10L
131;202;778,5549163818360;20L
126;197;777,9996395111080;20L
125;193;127,92444229126000;20L
117;190;127,03275680542000;20L
118;189;124,21989440918000;10L
127;193;125,33450126647900;20L
126;193;777,7888774871830;20L
127;195;112,23483085632300;10L
132;199;100,56591033935500;10L
145;226;91,09377861022950;10L
146;227;89,42389488220220;10L
148;227;88,90914916992190;10L
159;236;86,26246452331540;10L
163;250;84,84387397766110;10L
161;259;82,25393295288090;10L
172;271;79,56266403198240;10L
169;269;78,86147499084470;10L
167;271;76,9038200378418;10L
172;272;73,40192794799810;10L
197;318;64,43238258361820;10L
212;320;58,70532989501950;10L
223;346;57,56235122680660;10L
222;347;56,58555030822750;10L
219;366;55,14264106750490;10L
224;372;55,01699447631840;10L
228;371;53,86185646057130;10L
230;365;52,58917808532720;10L
242;397;50,566673278808600;10L
241;398;48,86436462402340;10L
243;393;49,703359603881800;10L
253;396;49,208879470825200;20L
246;392;52,96611785888670;10L
242;373;49,44801330566410;10L
238;372;49,067020416259800;10L
240;379;52,5202751159668;10L
239;385;49,2250919342041;10L
247;398;48,183441162109400;10L
252;401;47,8510856628418;20L
250;398;48,195600509643600;20L
254;398;48,68602752685550;20L
252;397;51,25164985656740;20L
259;407;52,96206474304200;20L
257;402;54,76975440979000;20L
252;394;56,719303131103500;20L
244;392;58,287858963012700;10L
237;379;60,140132904052700;20L
224;341;62,567949295043900;10L
218;338;63,382625579834000;10L
210;331;62,875986099243200;10L
206;326;64,1324520111084;20L
201;321;63,4312629699707;10L
203;319;65,11735916137700;10L
201;319;66,10226631164550;10L
201;321;67,38710403442380;10L
197;312;70,32966613769530;10L
193;314;72,56698608398440;10L
189;304;74,41115379333500;10L
190;307;76,12156867980960;10L
183;293;78,29403877258300;10L
184;284;78,19271087646480;10L
166;262;80,62052726745610;10L
159;255;80,64079284667970;10L
160;254;80,60431480407720;10L
161;254;80,38139343261720;10L
163;255;80,8718204498291;10L
163;256;81,69865608215330;10L
162;251;84,13863182067870;10L
157;247;86,60697937011720;10L
154;244;90,45743942260740;10L
160;230;97,76926040649410;20L
142;214;108,26683044433600;10L
143;211;101,26709938049300;10L
140;207;101,13334655761700;10L
146;213;101,04012489318800;20L
144;214;104,11238670349100;10L
142;216;98,36101531982420;10L
142;215;98,44613075256350;10L
145;218;98,52313995361330;10L
145;219;98,18673133850100;10L
150;220;98,40154647827150;10L
146;219;98,61636161804200;10L
149;219;98,36506843566900;10L
151;219;98,14620018005370;10L
150;218;100,79288482666000;20L
145;214;101,31573677063000;10L
149;214;104,90274429321300;10L
141;206;115,04769325256300;10L
143;206;165,2820110321050;20L
145;206;112,9157543182370;10L
145;206;110,82029342651400;10L
149;207;107,74397850036600;10L
134;211;105,26752471923800;10L
134;212;103,67059707641600;10L
134;212;105,93223571777300;10L
133;212;106,20784759521500;10L
136;209;106,79149627685500;10L
133;206;107,10358619689900;10L
134;205;107,15627670288100;10L
133;201;108,4897518157960;10L
132;199;110,08262634277300;10L
133;195;166,00346565246600;20L
136;192;166,83435440063500;20L
134;199;111,3431453704830;10L
