width;height;distance;volume
141;150;84,41019058227540;10L
169;292;74,57733154296880;10L
163;282;71,01058959960940;10L
183;295;73,99368286132810;10L
178;279;73,46272468566900;10L
182;308;68,80569458007810;10L
184;307;67,6424503326416;10L
213;330;63,43531608581540;10L
216;337;64,1932487487793;20L
215;355;64,93496894836430;10L
215;340;66,36166572570800;20L
198;319;64,91470336914060;10L
191;323;64,18108940124510;10L
198;317;65,51861763000490;10L
199;324;64,31889533996580;10L
199;321;61,89918518066410;10L
198;323;61,42091751098630;10L
189;324;64,37969207763670;10L
189;317;65,19436836242680;10L
192;314;64,09192085266110;10L
194;318;64,7282600402832;10L
197;329;68,21799278259280;10L
197;318;65,78612327575680;10L
196;314;67,05474853515630;10L
196;314;66,0860538482666;10L
201;310;67,5208568572998;10L
203;309;64,59450721740720;10L
197;307;65,37270545959470;10L
202;315;64,12839889526370;20L
206;328;62,17479705810550;10L
209;333;59,64159965515140;10L
209;334;58,725595474243200;10L
217;336;57,343482971191400;10L
225;352;54,927825927734400;10L
227;379;54,68869209289550;10L
231;383;54,67653274536130;10L
233;386;52,73914337158200;10L
234;399;51,377296447753900;10L
239;397;49,257516860961900;10L
246;382;50,0032901763916;10L
249;389;50,364017486572300;20L
245;388;51,21111869812010;10L
244;389;50,740957260131800;10L
245;386;50,99225044250490;10L
245;396;51,93662643432620;10L
243;394;50,21405220031740;10L
246;400;49,97086524963380;10L
248;398;49,61824417114260;10L
260;415;48,418521881103500;20L
251;413;50,9800910949707;20L
258;408;45,966386795043900;20L
264;406;50,39238929748540;20L
274;416;46,144723892211900;20L
267;415;46,10419273376470;20L
265;414;46,50545120239260;20L
260;410;51,271915435791000;20L
251;404;52,24871635437010;20L
245;402;52,1392822265625;10L
242;402;55,162906646728500;10L
241;396;54,70085144042970;10L
236;389;54,8548698425293;10L
232;383;54,55493927001950;10L
232;380;55,094003677368200;10L
231;375;55,34934997558590;10L
230;371;55,29665946960450;10L
228;368;55,069684982299800;10L
228;366;55,77492713928220;10L
225;364;55,82761764526370;10L
225;359;55,54795265197750;10L
225;358;55,92489242553710;10L
223;361;57,08003044128420;10L
224;359;56,613922119140600;10L
224;346;58,72964859008790;10L
224;342;58,689117431640600;10L
225;348;59,442996978759800;10L
223;346;59,53621864318850;10L
222;345;61,153411865234400;10L
218;343;61,38443946838380;10L
214;335;61,72490119934080;10L
209;335;62,54768371582030;10L
211;330;62,401771545410200;10L
210;328;62,60848045349120;10L
206;324;63,65013122558590;10L
203;323;67,10338592529300;20L
201;325;65,20652770996090;10L
206;325;63,72714042663570;10L
199;317;67,21687316894530;10L
199;318;67,47221946716310;10L
198;319;68,91512870788570;10L
195;305;69,78654861450200;10L
192;302;70,9538459777832;10L
191;299;72,48997688293460;10L
191;298;72,3116397857666;10L
190;295;72,77774810791020;10L
187;291;73,31275939941410;10L
186;291;73,4262466430664;10L
181;284;73,5478401184082;10L
179;283;74,26118850708010;10L
180;283;74,95427131652830;10L
182;288;76,24316215515140;10L
182;285;77,15106010437010;10L
176;281;76,56741142272950;10L
176;283;74,79619979858400;10L
175;280;77,66580581665040;10L
176;279;76,69711112976070;10L
173;274;79,65993881225590;10L
173;279;76,89166069030760;10L
174;281;77,39830017089840;10L
170;281;78,39131355285650;10L
167;272;79,31137084960940;10L
