141, 150, 84.41019058227539, 10L
169, 292, 74.57733154296875, 10L
163, 282, 71.01058959960938, 10L
183, 295, 73.99368286132812, 10L
178, 279, 73.46272468566895, 10L
182, 308, 68.80569458007812, 10L
184, 307, 67.6424503326416, 10L
213, 330, 63.43531608581543, 10L
216, 337, 64.1932487487793, 20L
215, 355, 64.93496894836426, 10L
215, 340, 66.36166572570801, 20L
198, 319, 64.91470336914062, 10L
191, 323, 64.18108940124512, 10L
198, 317, 65.51861763000488, 10L
199, 324, 64.31889533996582, 10L
199, 321, 61.89918518066406, 10L
198, 323, 61.42091751098633, 10L
189, 324, 64.37969207763672, 10L
189, 317, 65.19436836242676, 10L
192, 314, 64.09192085266113, 10L
194, 318, 64.7282600402832, 10L
197, 329, 68.21799278259277, 10L
197, 318, 65.78612327575684, 10L
196, 314, 67.05474853515625, 10L
196, 314, 66.0860538482666, 10L
201, 310, 67.5208568572998, 10L
203, 309, 64.59450721740723, 10L
197, 307, 65.37270545959473, 10L
202, 315, 64.12839889526367, 20L
206, 328, 62.17479705810547, 10L
209, 333, 59.64159965515137, 10L
209, 334, 58.725595474243164, 10L
217, 336, 57.343482971191406, 10L
225, 352, 54.927825927734375, 10L
227, 379, 54.68869209289551, 10L
231, 383, 54.67653274536133, 10L
233, 386, 52.73914337158203, 10L
234, 399, 51.377296447753906, 10L
239, 397, 49.257516860961914, 10L
246, 382, 50.0032901763916, 10L
249, 389, 50.364017486572266, 20L
245, 388, 51.21111869812012, 10L
244, 389, 50.740957260131836, 10L
245, 386, 50.99225044250488, 10L
245, 396, 51.93662643432617, 10L
243, 394, 50.21405220031738, 10L
246, 400, 49.97086524963379, 10L
248, 398, 49.61824417114258, 10L
260, 415, 48.418521881103516, 20L
251, 413, 50.9800910949707, 20L
258, 408, 45.966386795043945, 20L
264, 406, 50.39238929748535, 20L
274, 416, 46.144723892211914, 20L
267, 415, 46.10419273376465, 20L
265, 414, 46.50545120239258, 20L
260, 410, 51.271915435791016, 20L
251, 404, 52.24871635437012, 20L
245, 402, 52.1392822265625, 10L
242, 402, 55.162906646728516, 10L
241, 396, 54.70085144042969, 10L
236, 389, 54.8548698425293, 10L
232, 383, 54.55493927001953, 10L
232, 380, 55.094003677368164, 10L
231, 375, 55.34934997558594, 10L
230, 371, 55.29665946960449, 10L
228, 368, 55.069684982299805, 10L
228, 366, 55.77492713928223, 10L
225, 364, 55.82761764526367, 10L
225, 359, 55.54795265197754, 10L
225, 358, 55.92489242553711, 10L
223, 361, 57.08003044128418, 10L
224, 359, 56.613922119140625, 10L
224, 346, 58.72964859008789, 10L
224, 342, 58.689117431640625, 10L
225, 348, 59.442996978759766, 10L
223, 346, 59.53621864318848, 10L
222, 345, 61.153411865234375, 10L
218, 343, 61.38443946838379, 10L
214, 335, 61.72490119934082, 10L
209, 335, 62.54768371582031, 10L
211, 330, 62.401771545410156, 10L
210, 328, 62.60848045349121, 10L
206, 324, 63.65013122558594, 10L
203, 323, 67.10338592529297, 20L
201, 325, 65.20652770996094, 10L
206, 325, 63.72714042663574, 10L
199, 317, 67.21687316894531, 10L
199, 318, 67.47221946716309, 10L
198, 319, 68.91512870788574, 10L
195, 305, 69.78654861450195, 10L
192, 302, 70.9538459777832, 10L
191, 299, 72.48997688293457, 10L
191, 298, 72.3116397857666, 10L
190, 295, 72.77774810791016, 10L
187, 291, 73.31275939941406, 10L
186, 291, 73.4262466430664, 10L
181, 284, 73.5478401184082, 10L
179, 283, 74.26118850708008, 10L
180, 283, 74.95427131652832, 10L
182, 288, 76.24316215515137, 10L
182, 285, 77.15106010437012, 10L
176, 281, 76.56741142272949, 10L
176, 283, 74.79619979858398, 10L
175, 280, 77.66580581665039, 10L
176, 279, 76.69711112976074, 10L
173, 274, 79.65993881225586, 10L
173, 279, 76.89166069030762, 10L
174, 281, 77.39830017089844, 10L
170, 281, 78.39131355285645, 10L
167, 272, 79.31137084960938, 10L
157, 260, 84.06972885131836, 10L
156, 263, 86.08007431030273, 10L
156, 248, 89.01453018188477, 20L
150, 240, 90.75736999511719, 10L
143, 229, 95.32523155212402, 10L
141, 226, 96.54927253723145, 10L
141, 226, 97.8097915649414, 10L
138, 220, 98.5109806060791, 10L
140, 221, 99.05815124511719, 10L
143, 222, 99.64990615844727, 10L
143, 220, 99.96604919433594, 10L
141, 222, 102.42223739624023, 10L
143, 224, 109.91239547729492, 10L
141, 221, 103.4395694732666, 10L
130, 201, 113.10219764709473, 10L
125, 193, 127.92444229125977, 20L
117, 190, 127.03275680541992, 20L
118, 189, 124.21989440917969, 10L
127, 193, 125.33450126647949, 20L
127, 195, 112.23483085632324, 10L
132, 199, 100.56591033935547, 10L
145, 226, 91.09377861022949, 10L
146, 227, 89.42389488220215, 10L
148, 227, 88.90914916992188, 10L
159, 236, 86.26246452331543, 10L
163, 250, 84.84387397766113, 10L
161, 259, 82.25393295288086, 10L
172, 271, 79.56266403198242, 10L
169, 269, 78.86147499084473, 10L
167, 271, 76.9038200378418, 10L
172, 272, 73.40192794799805, 10L
197, 318, 64.43238258361816, 10L
212, 320, 58.70532989501953, 10L
223, 346, 57.56235122680664, 10L
222, 347, 56.58555030822754, 10L
219, 366, 55.14264106750488, 10L
224, 372, 55.01699447631836, 10L
228, 371, 53.86185646057129, 10L
230, 365, 52.58917808532715, 10L
242, 397, 50.566673278808594, 10L
241, 398, 48.86436462402344, 10L
243, 393, 49.703359603881836, 10L
253, 396, 49.208879470825195, 20L
246, 392, 52.96611785888672, 10L
242, 373, 49.44801330566406, 10L
